player,url,year,team,bref_id,nba_id,team_id,playoffs
Kaitlyn Chen,,2026,GSV,,1642822,1611661331,0
Kayla Thornton,,2026,GSV,,203866,1611661331,0
Kiah Stokes,,2026,GSV,,204329,1611661331,0
Laeticia Amihere,,2026,GSV,,1641656,1611661331,0
Miela Sowah,,2026,GSV,,1631039,1611661331,0
Ndjakalenga Mwenentanda,,2026,GSV,,1643479,1611661331,0
Tiffany Hayes,,2026,GSV,,203026,1611661331,0
Veronica Burton,,2026,GSV,,1631007,1611661331,0
Brittney Sykes,,2026,TOR,,1628279,1611661332,0
Isabelle Harrison,,2026,TOR,,204330,1611661332,0
Julie Allemand,,2026,TOR,,1627700,1611661332,0
Kia Nurse,,2026,TOR,,1628915,1611661332,0
Kiki Rice,,2026,TOR,,1643445,1611661332,0
Laura Juskaite,,2026,TOR,,1643420,1611661332,0
Maria Conde,,2026,TOR,,1629576,1611661332,0
Mariella Fasoula,,2026,TOR,,1630108,1611661332,0
Marina Mabrey,,2026,TOR,,1629497,1611661332,0
Nikolina Milic,,2026,TOR,,1631263,1611661332,0
Nyara Sabally,,2026,TOR,,1631055,1611661332,0
Temi Fagbenle,,2026,TOR,,1627701,1611661332,0
Teonni Key,,2026,TOR,,1643457,1611661332,0
Tima Pouye,,2026,TOR,,1643647,1611661332,0
